,City,Count,Latitude,Longitude,Weight,Comment
0,Ciudad,112,,,35.0,"Weight = 35, letters > 48"
1,Bilbao,16,43°15′25″N,2°55′25″W,25.0,"Weight = 25, letters 12 ~ 24"
2,Not listed,329,,,35.0,"Weight = 35, letters > 48"
3,Espulgas Francoli [Tarragona] ,1,,,10.0,"Weight = 10, letters < 3"
4,Almería,6,36°50′25″N,2°28′05″W,15.0,"Weight = 15, letters 3 ~ 6"
5,Madrid,64,40°25′N,3°43′W,35.0,"Weight = 35, letters > 48"
6,Gijón,6,43°32′N,5°42′W,15.0,"Weight = 15, letters 3 ~ 6"
7,"Valladolid [assuming Spain, not Mexico] ",1,,,10.0,"Weight = 10, letters < 3"
8,Alcanar ,1,40°32′38″N,0°28′55″E,10.0,"Weight = 10, letters < 3"
9,Igualada,2,41°35′N,1°37′E,10.0,"Weight = 10, letters < 3"
10,Vigo,3,42°13′53″N,8°42′45″W,10.0,"Weight = 10, letters < 3"
11,Palma de Mallorca,6,39°34′N,2°39′E,15.0,"Weight = 15, letters 3 ~ 6"
12,Zaragoza,19,41°39′N,0°53′W,25.0,"Weight = 25, letters 12 ~ 24"
13,Larache,7,35°11′N,6°9′W,20.0,"Weight = 20, letters 6 ~ 12"
14,Valladolid,22,41°39′10″N,4°43′25″W,25.0,"Weight = 25, letters 12 ~ 24"
15,Cartagena,6,,,15.0,"Weight = 15, letters 3 ~ 6"
16,Santa Cruz de Tenerife,2,28°28′N,16°15′W,10.0,"Weight = 10, letters < 3"
17,Huesca,8,42°8′N,0°25′W,20.0,"Weight = 20, letters 6 ~ 12"
18,Valencia,44,39°28′00″N,0°22′30″W,30.0,"Weight = 30, letters 24 ~ 48"
19,Cambre,2,43°16′59″N,8°19′59″W,10.0,"Weight = 10, letters < 3"
20,San Sebastián ,3,43°19′17″N,1°59′8″W,10.0,"Weight = 10, letters < 3"
21,Málaga,37,36°43′10″N,4°25′12″W,30.0,"Weight = 30, letters 24 ~ 48"
22,Lérida,9,41°37′00″N,00°38′00″E,20.0,"Weight = 20, letters 6 ~ 12"
23,"Tetuán [assuming Morroco, not neighborhood of Madrid] ",1,,,10.0,"Weight = 10, letters < 3"
24,Alcoy,4,38°41′54″N,0°28′25″W,15.0,"Weight = 15, letters 3 ~ 6"
25,Lorca,4,,,15.0,"Weight = 15, letters 3 ~ 6"
26,Baracaldo,1,43°17′50″N,2°59′30″W,10.0,"Weight = 10, letters < 3"
27,Alcanar,2,40°32′38″N,0°28′55″E,10.0,"Weight = 10, letters < 3"
28,Trubia,1,43°19′58″N,5°59′16″W,10.0,"Weight = 10, letters < 3"
29,Hospitalet de Llobregat,2,41°21′35″N,2°6′00″E,10.0,"Weight = 10, letters < 3"
30,Santander,10,,,20.0,"Weight = 20, letters 6 ~ 12"
31,Villanueva y Geltrú,3,41°13′27″N,1°43′32″E,10.0,"Weight = 10, letters < 3"
32,Barcelona,2,41°23′N,2°11′E,10.0,"Weight = 10, letters < 3"
33,Madrid ,1,40°25′N,3°43′W,10.0,"Weight = 10, letters < 3"
34,Las Palmas,11,28°9′N,15°25′W,20.0,"Weight = 20, letters 6 ~ 12"
35,"Ginebra (Suiza) [Geneva, Swiss.] ",1,,,10.0,"Weight = 10, letters < 3"
36,Alicante,12,38°20′43″N,0°28′59″W,20.0,"Weight = 20, letters 6 ~ 12"
37,Benejúzar (Alicante),1,,,10.0,"Weight = 10, letters < 3"
38,Oviedo,2,43°21′36″N,5°50′42″W,10.0,"Weight = 10, letters < 3"
39,Algeciras,3,36°7′39″N,5°27′14″W,10.0,"Weight = 10, letters < 3"
40,Tarragona,16,41°06′56.51″N,1°14′58.54″E,25.0,"Weight = 25, letters 12 ~ 24"
41,San Feliu de Guixols,8,,,20.0,"Weight = 20, letters 6 ~ 12"
42,Tánger [Morroco] ,1,,,10.0,"Weight = 10, letters < 3"
43,Premiá de Mar ,1,41°29′31″N,2°21′43″E,10.0,"Weight = 10, letters < 3"
44,Vitoria,5,,,15.0,"Weight = 15, letters 3 ~ 6"
45,Casas Ibáñez,1,,,10.0,"Weight = 10, letters < 3"
46,Melilla,11,35°18′N,2°57′W,20.0,"Weight = 20, letters 6 ~ 12"
47,"Rambla, 43, Igualada",1,,,10.0,"Weight = 10, letters < 3"
48,Vergara [Bergara] ,1,,,10.0,"Weight = 10, letters < 3"
49,Blanca,1,,,10.0,"Weight = 10, letters < 3"
50,Vich [Vic] ,1,,,10.0,"Weight = 10, letters < 3"
51,Sevilla,16,37°23′N,5°59′W,25.0,"Weight = 25, letters 12 ~ 24"
52,Carballo,1,43°13′0″N,8°41′0″W,10.0,"Weight = 10, letters < 3"
