City;Count;Latitude;Longitude;Weight;Comment
Ciudad;85;;;35.0;Weight = 35, letters > 48
Bilbao;11;43°15′25″N;2°55′25″W;20.0;Weight = 20, letters 6 ~ 12
Espulgas Francoli [Tarragona] ;1;41°23′49.2″N;1°6′11.88″E;10.0;Weight = 10, letters < 3
Almería;6;36°50′25″N;2°28′05″W;15.0;Weight = 15, letters 3 ~ 6
Madrid;38;40°25′N;3°43′W;30.0;Weight = 30, letters 24 ~ 48
Gijón;5;43°32′N;5°42′W;15.0;Weight = 15, letters 3 ~ 6
Valladolid;17;41°39′10″N;4°43′25″W;25.0;Weight = 25, letters 12 ~ 24
Alcanar ;1;40°32′38″N;0°28′55″E;10.0;Weight = 10, letters < 3
Igualada;2;41°35′N;1°37′E;10.0;Weight = 10, letters < 3
Vigo;2;42°13′53″N;8°42′45″W;10.0;Weight = 10, letters < 3
Palma de Mallorca;5;39°34′N;2°39′E;15.0;Weight = 15, letters 3 ~ 6
Zaragoza;13;41°39′N;0°53′W;25.0;Weight = 25, letters 12 ~ 24
Larache;7;35°11′N;6°9′W;20.0;Weight = 20, letters 6 ~ 12
Cartagena;6;37°36′0″N;0°59′0″W;15.0;Weight = 15, letters 3 ~ 6
Santa Cruz de Tenerife;2;28°28′N;16°15′W;10.0;Weight = 10, letters < 3
Huesca;6;42°8′N;0°25′W;15.0;Weight = 15, letters 3 ~ 6
Valencia;32;39°28′00″N;0°22′30″W;30.0;Weight = 30, letters 24 ~ 48
Cambre;1;43°16′59″N;8°19′59″W;10.0;Weight = 10, letters < 3
San Sebastián ;3;43°19′17″N;1°59′8″W;10.0;Weight = 10, letters < 3
Málaga;30;36°43′10″N;4°25′12″W;30.0;Weight = 30, letters 24 ~ 48
Lérida;4;41°37′00″N;00°38′00″E;15.0;Weight = 15, letters 3 ~ 6
Tetuán;9;35°34′N;5°22′W;20.0;Weight = 20, letters 6 ~ 12
Alcoy;3;38°41′54″N;0°28′25″W;10.0;Weight = 10, letters < 3
Lorca;4;37°40′47.28″N;1°41′39.84″W;15.0;Weight = 15, letters 3 ~ 6
Baracaldo;1;43°17′50″N;2°59′30″W;10.0;Weight = 10, letters < 3
Alcanar;2;40°32′38″N;0°28′55″E;10.0;Weight = 10, letters < 3
Trubia;1;43°19′58″N;5°59′16″W;10.0;Weight = 10, letters < 3
Hospitalet de Llobregat;1;41°21′35″N;2°6′00″E;10.0;Weight = 10, letters < 3
Santander;6;43°27′46″N;3°48′18″W;15.0;Weight = 15, letters 3 ~ 6
Villanueva y Geltrú;3;41°13′27″N;1°43′32″E;10.0;Weight = 10, letters < 3
Barcelona;1;41°23′N;2°11′E;10.0;Weight = 10, letters < 3
Las Palmas;5;28°9′N;15°25′W;15.0;Weight = 15, letters 3 ~ 6
Ginebra (Suiza);1;46°12′0″N;6°9′0″E;10.0;Weight = 10, letters < 3
Alicante;9;38°20′43″N;0°28′59″W;20.0;Weight = 20, letters 6 ~ 12
Benejúzar (Alicante);1;38°4′40″N;0°50′19″W;10.0;Weight = 10, letters < 3
Oviedo;2;43°21′36″N;5°50′42″W;10.0;Weight = 10, letters < 3
Algecíras;1;36°7′39″N;5°27′14″W;10.0;Weight = 10, letters < 3
Tarragona;12;41°06′56.51″N;1°14′58.54″E;20.0;Weight = 20, letters 6 ~ 12
Tánger ;1;35°46′36″N;05°48′14″W;10.0;Weight = 10, letters < 3
Premiá de Mar ;1;41°29′31″N;2°21′43″E;10.0;Weight = 10, letters < 3
Vitoria (Gasteiz);4;42°51′0″N;2°41′0″W;15.0;Weight = 15, letters 3 ~ 6
Casas-Ibáñez;1;39°17′0″N;1°28′0″W;10.0;Weight = 10, letters < 3
Melilla;9;35°18′N;2°57′W;20.0;Weight = 20, letters 6 ~ 12
Rambla, 43, Igualada;1;41°35′0″N;1°37′0″E;10.0;Weight = 10, letters < 3
Vergara [Bergara] ;1;"43°06'54.36""N";"-2°25'3.00""W";10.0;Weight = 10, letters < 3
Blanca;1;38°10′45″N;1°22′34″W;10.0;Weight = 10, letters < 3
Vic;1;41°55′49″N;2°15′17″E;10.0;Weight = 10, letters < 3
Sevilla;5;37°23′N;5°59′W;15.0;Weight = 15, letters 3 ~ 6
Carballo;1;43°13′0″N;8°41′0″W;10.0;Weight = 10, letters < 3
Figueras;1;42°16′00″N;2°57′54″E;10.0;Weight = 10, letters < 3
Almansa;3;38°52′06.1″N;1°05′40.4″W;10.0;Weight = 10, letters < 3
Granada;6;37°10′41″N;3°36′03″W;15.0;Weight = 15, letters 3 ~ 6
